DNR_ID,site,date,sizeRange,percent
62-0231,201,2015-05-04T00:00:00Z,0_33,0
62-0067,202,2015-05-01T00:00:00Z,0_33,0
62-0083,204,2015-05-01T00:00:00Z,0_33,0
62-0054,101,2015-04-03T00:00:00Z,0_33,0
62-0055,201,2015-04-03T00:00:00Z,0_33,0
62-0231,201,2015-04-03T00:00:00Z,0_33,0
62-0056,212,2014-10-21T00:00:00Z,0_33,0
62-0054,101,2014-10-20T00:00:00Z,0_33,0
62-0055,201,2014-10-20T00:00:00Z,0_33,0
62-0231,201,2014-10-20T00:00:00Z,0_33,0
62-0047,201,2014-10-16T00:00:00Z,0_33,0
62-0225,201,2014-10-16T00:00:00Z,0_33,0
62-0039,201,2014-09-26T00:00:00Z,0_33,0
62-0047,201,2014-09-25T00:00:00Z,0_33,0
62-0225,201,2014-09-25T00:00:00Z,0_33,0
02-0003,204,2014-09-24T00:00:00Z,0_33,0
62-0002,207,2014-09-24T00:00:00Z,0_33,0
62-0001,202,2014-09-23T00:00:00Z,0_33,0
62-0011,201,2014-09-23T00:00:00Z,0_33,0
62-0016,201,2014-09-23T00:00:00Z,0_33,0
82-0167,234,2014-09-22T00:00:00Z,0_33,0
62-0006,202,2014-09-19T00:00:00Z,0_33,0
62-0007,203,2014-09-19T00:00:00Z,0_33,0
62-0010,401,2014-09-19T00:00:00Z,0_33,0
62-0012,201,2014-09-18T00:00:00Z,0_33,0
62-0013,201,2014-09-18T00:00:00Z,0_33,0
62-0061,208,2014-09-17T00:00:00Z,0_33,0
62-0073,201,2014-09-17T00:00:00Z,0_33,0
62-0075,202,2014-09-17T00:00:00Z,0_33,0
62-0054,101,2014-09-16T00:00:00Z,0_33,0
62-0056,212,2014-09-16T00:00:00Z,0_33,0
62-0082,201,2014-09-16T00:00:00Z,0_33,0
62-0048,201,2014-09-15T00:00:00Z,0_33,0
62-0055,201,2014-09-15T00:00:00Z,0_33,0
62-0231,201,2014-09-15T00:00:00Z,0_33,0
62-0057,401,2014-09-12T00:00:00Z,0_33,0
62-0078,204,2014-09-12T00:00:00Z,0_33,0
62-0047,201,2014-09-09T00:00:00Z,0_33,0
62-0225,201,2014-09-09T00:00:00Z,0_33,0
62-0039,201,2014-09-08T00:00:00Z,0_33,0
62-0071,201,2014-09-08T00:00:00Z,0_33,0
02-0003,204,2014-09-05T00:00:00Z,0_33,0
62-0002,207,2014-09-05T00:00:00Z,0_33,0
82-0167,234,2014-09-04T00:00:00Z,0_33,0
62-0067,202,2014-09-03T00:00:00Z,0_33,0
62-0083,204,2014-09-03T00:00:00Z,0_33,0
62-0006,202,2014-09-02T00:00:00Z,0_33,0
62-0007,203,2014-09-02T00:00:00Z,0_33,0
62-0010,401,2014-09-02T00:00:00Z,0_33,0
62-0012,201,2014-09-02T00:00:00Z,0_33,0
62-0013,201,2014-09-02T00:00:00Z,0_33,0
62-0001,202,2014-08-29T00:00:00Z,0_33,0
62-0011,201,2014-08-29T00:00:00Z,0_33,0
62-0016,201,2014-08-29T00:00:00Z,0_33,0
62-0054,101,2014-08-27T00:00:00Z,0_33,0
62-0056,212,2014-08-27T00:00:00Z,0_33,0
62-0061,208,2014-08-27T00:00:00Z,0_33,0
62-0073,201,2014-08-27T00:00:00Z,0_33,0
62-0075,202,2014-08-27T00:00:00Z,0_33,0
62-0082,201,2014-08-27T00:00:00Z,0_33,0
62-0048,201,2014-08-25T00:00:00Z,0_33,0
62-0055,201,2014-08-25T00:00:00Z,0_33,0
62-0231,201,2014-08-25T00:00:00Z,0_33,0
62-0057,401,2014-08-22T00:00:00Z,0_33,0
62-0078,204,2014-08-22T00:00:00Z,0_33,0
62-0067,202,2014-08-20T00:00:00Z,0_33,0
62-0083,204,2014-08-20T00:00:00Z,0_33,0
62-0039,201,2014-08-15T00:00:00Z,0_33,0
62-0071,201,2014-08-15T00:00:00Z,0_33,0
62-0047,201,2014-08-14T00:00:00Z,0_33,0
62-0225,201,2014-08-14T00:00:00Z,0_33,0
02-0003,204,2014-08-13T00:00:00Z,0_33,0
62-0002,207,2014-08-13T00:00:00Z,0_33,0
82-0167,234,2014-08-12T00:00:00Z,0_33,0
62-0001,202,2014-08-11T00:00:00Z,0_33,0
62-0011,201,2014-08-11T00:00:00Z,0_33,0
62-0016,201,2014-08-11T00:00:00Z,0_33,0
62-0006,202,2014-08-08T00:00:00Z,0_33,0
62-0007,203,2014-08-08T00:00:00Z,0_33,0
62-0010,401,2014-08-08T00:00:00Z,0_33,0
62-0012,201,2014-08-07T00:00:00Z,0_33,0
62-0013,201,2014-08-07T00:00:00Z,0_33,0
62-0061,208,2014-08-06T00:00:00Z,0_33,0
62-0073,201,2014-08-06T00:00:00Z,0_33,0
